"","Reported.Year","Property.ID..","Commercial.Property..Property.Street.Address","Building.Name","Total.SqFt","Category","Year.Built","kWh.sqft","Percentile.Rank","Received.Date","Site.EUI..kBTU.sqft.","Portfolio.Manager.SqFt","Total.Green.House.Gas.Emissions..MtCO2e.","Portfolio.Manager.Organization","GeoLocation","Submitted.Name.of.Organization","GeoLocation_clean","lat","long"
"2752",NA,"228188","7104 Berkman Drive, Austin, TX 78752","Nelson Bus Terminal / Field",314440,"EDUCATIONAL FACILITY","1965",NA,NA,"05/11/2017 12:00:00 AM",74.1,16043,NA,NA,"7104 Berkman Drive
Austin, TX 78752
(30.323972, -97.689635)","LPB Energy","30.323972, -97.689635",30.323972,-97.689635
"2753",NA,"522984","6500 RIVER PLACE BLVD, AUSTIN TX, 78730","River Place Building 6",864004,"OFFICE LG > 35000","2000",NA,NA,"05/19/2017 12:00:00 AM",77.5,62038,NA,NA,"6500 RIVER PLACE BLVD
AUSTIN, TX 78730
(30.391744, -97.847562)","Brandywine Realty Trust","30.391744, -97.847562",30.391744,-97.847562
"2754",2017,"109593","900 S CAPITAL OF TEXAS HWY, AUSTIN TX, 78746","900 S CAPITAL OF TEXAS HWY, AUSTIN TX, 78746",142000,"OFFICE LG > 35000 (W/sqft > 5)","2007",17.202,43.15,"",NA,NA,NA,NA,"900 S CAPITAL OF TEXAS HWY
AUSTIN, TX 78746
(30.28802, -97.82744)","Transwestern","30.28802, -97.82744",30.28802,-97.82744
"2755",2017,"287383","520 WOODWARD ST, AUSTIN TX, 78704","SCP - Satellite Chiller Plant",575885,"DORMITORY\RETIREMENT FACILITY","1968",NA,NA,"05/22/2017 12:00:00 AM",NA,11250,NA,NA,"520 WOODWARD ST
AUSTIN, TX 78704
(30.22651, -97.753644)","St. Edward's University","30.22651, -97.753644",30.22651,-97.753644
"2756",2017,"212652","801 W 34 ST, AUSTIN TX, 78705","801 W 34 ST, AUSTIN TX, 78705",34649,"MEDICAL FACILITY","1968",3.241,NA,"",NA,NA,NA,NA,"801 W 34 ST
AUSTIN, TX 78705
(30.301735, -97.742704)","West 34th Street Neighborhood Improvement Company","30.301735, -97.742704",30.301735,-97.742704
"2757",2017,"312771","600 West St. Elmo Road, Austin, TX 78745","St. Elmo Elementary",51994,"EDUCATIONAL FACILITY","1960",NA,NA,"04/10/2017 12:00:00 AM",47.1,50458,NA,NA,"600 West St Elmo Road
Austin, TX 78745
(30.221249, -97.773352)","LPB Energy","30.221249, -97.773352",30.221249,-97.773352
"2758",2017,"196757","800 GUADALUPE , AUSTIN TX, 78701","800 GUADALUPE , AUSTIN TX, 78701",146663,"CITY OF AUSTIN",".",11.408,31.03,"",NA,NA,NA,NA,"800 GUADALUPE
AUSTIN, TX 78701
(30.271163, -97.745487)","Austin Energy","30.271163, -97.745487",30.271163,-97.745487
"2759",2017,"235503, 238555, 746223","9101 WALL ST, AUSTIN TX, 78754","9101 WALL ST, AUSTIN TX, 78754",101781,"INDUSTRIAL (W/sqft > 3)","1986",43.289,91.46,"",NA,NA,NA,NA,"9101 WALL ST
AUSTIN, TX 78754
(30.342996, -97.669448)","Live Oak Gottesman","30.342996, -97.669448",30.342996,-97.669448
"2760",2017,"761687","4401 W WILLIAM CANNON DR, AUSTIN TX, 78749","Shops at Arbor Trails Bldg E2",183507,"RETAIL CENTER","2006",NA,NA,"05/18/2017 12:00:00 AM",NA,12218,NA,NA,"4401 W WILLIAM CANNON DR
AUSTIN, TX 78749
(30.222911, -97.840375)","Blue Ocean Energy","30.222911, -97.840375",30.222911,-97.840375
"2761",2017,"243472","825 E RUNDBERG LA, AUSTIN TX, 78753","825 E RUNDBERG LA, AUSTIN TX, 78753",68470,"RETAIL CENTER","1985",23.037,71.98,"",NA,NA,NA,NA,"825 E RUNDBERG LA
AUSTIN, TX 78753
(30.357466, -97.686736)","Sigland Properties II LTD","30.357466, -97.686736",30.357466,-97.686736
"2762",2017,"501173","804 E BRAKER LA, AUSTIN TX, 78753","804 E BRAKER LA, AUSTIN TX, 78753",27720,"RETAIL CENTER","1974",15.582,39.85,"",NA,NA,NA,NA,"804 E BRAKER LA
AUSTIN, TX 78753
(30.3767, -97.674914)","Northern Tool & Equipment","30.3767, -97.674914",30.3767,-97.674914
"2763",NA,"310847","300 WOODWARD ST, AUSTIN TX, 78704","LIB - Munday Library",619612,"EDUCATIONAL FACILITY",".",NA,NA,"05/08/2017 12:00:00 AM",NA,43201,NA,NA,"300 WOODWARD ST
AUSTIN, TX 78704
(30.227797, -97.756258)","St. Edward's University","30.227797, -97.756258",30.227797,-97.756258
"2764",2017,"729005","8601 Vertex Blvd, Austin, TX 78747","Blazier Elementary",93649,"EDUCATIONAL FACILITY","2007",NA,NA,"04/01/2017 12:00:00 AM",41.7,106315,NA,NA,"8601 Vertex Blvd
Austin, TX 78747
(30.156278, -97.752948)","LPB Energy","30.156278, -97.752948",30.156278,-97.752948
"2765",2017,"508013","9919 SERVICE AVE, AUSTIN TX, 78719","9919 SERVICE AVE, AUSTIN TX, 78719",25540,"INDUSTRIAL (W/sqft > 3)","1999",55.298,94.58,"",NA,NA,NA,NA,"9919 SERVICE AVE
AUSTIN, TX 78719
(30.205237, -97.661297)","LSG Sky Chefs, Inc.","30.205237, -97.661297",30.205237,-97.661297
"2766",2017,"320815","730 W STASSNEY LA, AUSTIN TX, 78745","730 W STASSNEY LA, AUSTIN TX, 78745",21768,"RETAIL CENTER","1972",14.914,99.49,"",NA,NA,NA,NA,"730 W STASSNEY LA
AUSTIN, TX 78745
(30.209029, -97.78292)","Spectrum","30.209029, -97.78292",30.209029,-97.78292
"2767",2017,"513049","8708 S CONGRESS AVE, AUSTIN TX, 78745","8708 S CONGRESS AVE, AUSTIN TX, 78745",65800,"INDUSTRIAL","2009",3.677,18.54,"",NA,NA,NA,NA,"8708 S CONGRESS AVE
AUSTIN, TX 78745
(30.171077, -97.785981)","Granite Properties of Texas","30.171077, -97.785981",30.171077,-97.785981
"2768",2017,"377765","9222 BURNET RD, AUSTIN TX, 78757","9222 BURNET RD, AUSTIN TX, 78757",20670,"RETAIL CENTER","1983",13.261,46.27,"",NA,NA,NA,NA,"9222 BURNET RD
AUSTIN, TX 78757
(30.376463, -97.725676)","Commerce Management Company","30.376463, -97.725676",30.376463,-97.725676
"2769",2017,"232825","8330 CROSS PARK DR, AUSTIN TX, 78754","8330 CROSS PARK DR, AUSTIN TX, 78754",60878,"INDUSTRIAL (W/sqft > 3)","1996",20.733,78.54,"",NA,NA,NA,NA,"8330 CROSS PARK DR
AUSTIN, TX 78754
(30.336078, -97.674115)","Wesco","30.336078, -97.674115",30.336078,-97.674115
"2770",2017,"226711","5775 AIRPORT BLVD, AUSTIN TX, 78751","Highland Commons Center",42693,"RETAIL CENTER","1970",NA,NA,"05/19/2017 12:00:00 AM",NA,39753,NA,NA,"5775 AIRPORT BLVD
AUSTIN, TX 78751
(30.32198, -97.714153)","Blue Ocean Energy","30.32198, -97.714153",30.32198,-97.714153
"2771",2017,"189868","3100 East 4th Street, Austin, TX 78702","Brooke Elementary",55387,"EDUCATIONAL FACILITY","1954",NA,NA,"04/10/2017 12:00:00 AM",37.2,56081,NA,NA,"3100 East 4th Street
Austin, TX 78702
(30.254241, -97.708205)","LPB Energy","30.254241, -97.708205",30.254241,-97.708205
"2772",2017,"310847","300 WOODWARD ST, AUSTIN TX, 78704","BMH - Basil Moreau Hall",619612,"EDUCATIONAL FACILITY",".",NA,NA,"05/18/2017 12:00:00 AM",NA,48848,NA,NA,"300 WOODWARD ST
AUSTIN, TX 78704
(30.227797, -97.756258)","St. Edward's University","30.227797, -97.756258",30.227797,-97.756258
"2773",2017,"153537","9721 ARBORETUM BLVD, AUSTIN TX, 78759","9671v-Austin Renaissance",445544,"MOTEL\HOTEL (W/sqft > 3)","1985",NA,NA,"05/24/2017 12:00:00 AM",91.8,457000,NA,NA,"9721 ARBORETUM BLVD
AUSTIN, TX 78759
(30.39327, -97.750041)","Marriott International","30.39327, -97.750041",30.39327,-97.750041
"2774",2017,"242314","8140 BURNET RD Austin TX 78757","8140 BURNET RD Austin TX 78757",77005,"AUTOMOTIVE SALES","2006",10.359,36.84,"",NA,NA,NA,NA,"8140 BURNET RD
Austin, TX 78757
(30.360951, -97.729578)","Hardeman Family Joint Venture LTD","30.360951, -97.729578",30.360951,-97.729578
"2775",2017,"447208","901 LITTLE TEXAS LA, AUSTIN TX, 78745","901 LITTLE TEXAS LA, AUSTIN TX, 78745",66613,"RECREATION","1998",46.386,92.31,"",NA,NA,NA,NA,"901 LITTLE TEXAS LA
AUSTIN, TX 78745
(30.198574, -97.768481)","ACT III  INNER LOOP THEATRES, INC #950","30.198574, -97.768481",30.198574,-97.768481
"2776",2017,"461024","4400 W BRAKER LA, AUSTIN TX, 78759","Lakeview Plaza - 4516 SETON CENTER PKWY",127016,"OFFICE LG > 35000 (W/sqft > 5)","1998",NA,NA,"05/11/2017 12:00:00 AM",91.6,129052,NA,NA,"4400 W BRAKER LA
AUSTIN, TX 78759
(30.400229, -97.741879)","Equity Commonwealth","30.400229, -97.741879",30.400229,-97.741879
"2777",2017,"477450","9909 N LAMAR BLVD, AUSTIN TX, 78753","9909 N LAMAR BLVD, AUSTIN TX, 78753",48077,"MOTEL\HOTEL (W/sqft > 3)","2000",14.143,67.61,"",NA,NA,NA,NA,"9909 N LAMAR BLVD
AUSTIN, TX 78753
(30.369205, -97.693562)","InTown Suites","30.369205, -97.693562",30.369205,-97.693562
"2778",2017,"547988","3908 W BRAKER LA, AUSTIN TX, 78759","78 Austin TX HAMP",57880,"MOTEL\HOTEL (W/sqft > 3)","1996",NA,NA,"04/28/2017 12:00:00 AM",104.7,57880,NA,NA,"3908 W BRAKER LA
AUSTIN, TX 78759
(30.396746, -97.734557)","The Eric Ryan Corporation","30.396746, -97.734557",30.396746,-97.734557
"2779",2017,"807299","800 W CESAR CHAVEZ ST AUSTIN TX 78703","Seaholm - Powerplant",97420,"AE CHILLED WATER LOOP","1950",NA,NA,"05/30/2017 12:00:00 AM",77.8,125767,NA,NA,"800 W CESAR CHAVEZ ST
AUSTIN, TX 78703
(30.265781, -97.752812)","Blue Ocean Energy","30.265781, -97.752812",30.265781,-97.752812
"2780",2017,"819885","415 W SLAUGHTER LN AUSTIN TX 78748","Luby's 415 Slaughter",12232,"RESTAURANT\BAR","2013",NA,NA,"04/03/2017 12:00:00 AM",NA,12360,NA,NA,"415 W SLAUGHTER LN
AUSTIN, TX 78748
(30.170456, -97.797288)","Blue Ocean Energy","30.170456, -97.797288",30.170456,-97.797288
"2781",2017,"439196","6612 SITIO DEL RIO BLVD, AUSTIN TX, 78730","NLH Enterprises, LLC",11064,"OFFICE MED 10-35","2007",NA,NA,"04/27/2017 12:00:00 AM",NA,11064,NA,NA,"6612 SITIO DEL RIO BLVD
AUSTIN, TX 78730
(30.391486, -97.84249)","NLH Enterprises, LLC","30.391486, -97.84249",30.391486,-97.84249
"2782",2017,"310476","4107 S LAMAR BLVD, Austin, TX 78704","Brodie Oaks TCAD 310476 - Last Call",49796,"RETAIL CENTER","1982",NA,NA,"05/20/2017 12:00:00 AM",44.8,50890,NA,NA,"4107 S LAMAR BLVD
Austin, TX 78704
(30.235516, -97.793443)","Blue Ocean Energy","30.235516, -97.793443",30.235516,-97.793443
"2783",2017,"246683","9308 N LAMAR BLVD, AUSTIN TX, 78753","9308 N LAMAR BLVD, AUSTIN TX, 78753",35780,"RETAIL CENTER","1972",32.315,84.83,"",NA,NA,NA,NA,"9308 N LAMAR BLVD
AUSTIN, TX 78753
(30.362321, -97.697461)","Saleem-Northgate LLC","30.362321, -97.697461",30.362321,-97.697461
"2784",2017,"233613","6300 BURNET RD, AUSTIN TX, 78757","Lamar M. S.",135322,"EDUCATIONAL FACILITY","1955",NA,NA,"05/31/2017 12:00:00 AM",57.3,135322,NA,NA,"6300 BURNET RD
AUSTIN, TX 78757
(30.337245, -97.739444)","LPB Energy","30.337245, -97.739444",30.337245,-97.739444
"2785",2017,"111181","1122 S CAPITAL OF TEXAS HWY, AUSTIN TX, 78746","D760-CIELO CENTER",129230,"OFFICE LG > 35000 (W/sqft > 5)","1997",NA,NA,"05/31/2017 12:00:00 AM",71.9,270711,NA,NA,"1122 S CAPITAL OF TEXAS HWY
AUSTIN, TX 78746
(30.28156, -97.82271)","Brandywine Realty Trust","30.28156, -97.82271",30.28156,-97.82271
"2786",2017,"190977","73 San Marcos Street, Austin, TX 78702","Sanchez",85095,"EDUCATIONAL FACILITY","1976",NA,NA,"04/10/2017 12:00:00 AM",56.1,85095,NA,NA,"73 San Marcos Street
Austin, TX 78702
(30.258131, -97.735746)","LPB Energy","30.258131, -97.735746",30.258131,-97.735746
"2787",2017,"501517","9111 JOLLYVILLE RD, AUSTIN TX, 78759","9111 Jollyville",65268,"OFFICE LG > 35000 (W/sqft > 5)","1984",NA,NA,"04/20/2017 12:00:00 AM",51.2,65268,NA,NA,"9111 JOLLYVILLE RD
AUSTIN, TX 78759
(30.381827, -97.74363)","Blue Ocean Energy","30.381827, -97.74363",30.381827,-97.74363
"2788",2017,"244995","9807 MIDDLE FISKVILLE RD, AUSTIN TX, 78753","9807 MIDDLE FISKVILLE RD, AUSTIN TX, 78753",47331,"INDUSTRIAL","1981",7.783,46.25,"",NA,NA,NA,NA,"9807 MIDDLE FISKVILLE RD
AUSTIN, TX 78753
(30.361439, -97.684082)","Frito Lay","30.361439, -97.684082",30.361439,-97.684082
"2789",2017,"458102","12301 RESEARCH BLVD, AUSTIN TX, 78759","Research Park Bldg III",360782,"OFFICE LG > 35000","2001",NA,NA,"04/07/2017 12:00:00 AM",90.2,180786,NA,NA,"12301 RESEARCH BLVD
AUSTIN, TX 78759
(30.427918, -97.755818)","Transwestern","30.427918, -97.755818",30.427918,-97.755818
"2790",2017,"806878","701 E Parmer Ln Austin TX 78753","Building 4",263591,"OFFICE LG > 35000 (W/sqft > 5)","2001",NA,NA,"05/11/2017 12:00:00 AM",168.1,128663,NA,NA,"701 E Parmer Ln
Austin, TX 78753
(30.401616, -97.656581)","Dell Products, LP","30.401616, -97.656581",30.401616,-97.656581
"2791",2017,"194485","310 E 5TH ST AUSTIN TX 78701","Westin Austin Dtwn",292784,"MOTEL\HOTEL","2014",NA,NA,"05/15/2017 12:00:00 AM",117.9,335000,NA,NA,"310 E 5TH ST
AUSTIN, TX 78701
(30.266366, -97.740444)","White Lodging","30.266366, -97.740444",30.266366,-97.740444
"2792",2017,"254512","401 BRAKER LA, Austin TX, 78753","Walnut Creek",96431,"EDUCATIONAL FACILITY","1961",NA,NA,"04/10/2017 12:00:00 AM",37.8,91511,NA,NA,"401 BRAKER LA
Austin, TX 78753
(30.380289, -97.68363)","LPB Energy","30.380289, -97.68363",30.380289,-97.68363
"2793",2017,"374443","901 S MOPAC EXPY, AUSTIN TX, 78746","901 S MOPAC EXPY, AUSTIN TX, 78746",216681,"OFFICE LG > 35000","1985",21.677,90.41,"",NA,NA,NA,NA,"901 S MOPAC EXPY
AUSTIN, TX 78746
(30.266158, -97.780544)","HPI Management","30.266158, -97.780544",30.266158,-97.780544
"2794",2017,"832332, 759195","7301 METROPOLIS DR Austin TX 78744","7301 METROPOLIS DR Austin TX 78744",72000,"COMPUTER DATA CENTER","",490.457,33.33,"",NA,NA,NA,NA,"7301 METROPOLIS DR
Austin, TX 78744
(30.206628, -97.698504)","Cyrus One, LLC","30.206628, -97.698504",30.206628,-97.698504
"2795",2017,"811209","8200 S CONGRESS AVE, AUSTIN TX, 78745","8200 S CONGRESS AVE, AUSTIN TX, 78745",21132,"WAREHOUSE","1983",7.161,NA,"",NA,NA,NA,NA,"8200 S CONGRESS AVE
AUSTIN, TX 78745
(30.176528, -97.784166)","Southside Storage Inc.","30.176528, -97.784166",30.176528,-97.784166
"2796",2017,"254002","9517 MCNEIL RD, AUSTIN TX, 78758","9517 MCNEIL RD, AUSTIN TX, 78758",16170,"WAREHOUSE (W/sqft > 5)","1984",25.648,91.75,"",NA,NA,NA,NA,"9517 MCNEIL RD
AUSTIN, TX 78758
(30.378724, -97.724089)","FlightSafety International","30.378724, -97.724089",30.378724,-97.724089
"2797",2017,"526395","9330 UNITED DR, AUSTIN TX, 78758","9330 UNITED DR, AUSTIN TX, 78758",57600,"INDUSTRIAL","2001",1.66,7.71,"",NA,NA,NA,NA,"9330 UNITED DR
AUSTIN, TX 78758
(30.378614, -97.730034)","GASTON BILL ENTERPRISES Inc","30.378614, -97.730034",30.378614,-97.730034
"2798",NA,"R381821","13640 BRIARWICK DR, AUSTIN TX, 78729","URS-AmberOaks Bldg E",78264,"OFFICE LG > 35000","1999",NA,NA,"05/30/2017 12:00:00 AM",113.9,63111,NA,NA,"13640 BRIARWICK DR
AUSTIN, TX 78729
(30.470818, -97.770354)","CBRE","30.470818, -97.770354",30.470818,-97.770354
"2799",NA,"311354","6001 Westcreek Drive, Austin, TX 78749","Patton",252181,"EDUCATIONAL FACILITY","1985",NA,NA,"03/29/2017 12:00:00 AM",42.1,88629,NA,NA,"6001 Westcreek Drive
Austin, TX 78749
(30.232121, -97.846119)","LPB Energy","30.232121, -97.846119",30.232121,-97.846119
"2800",NA,"462797","5300 RIATA PARK CT, AUSTIN TX, 78727","Parmer Business Park Bldg F",263766,"OFFICE LG > 35000","2000",NA,NA,"04/04/2017 12:00:00 AM",23.2,36800,NA,NA,"5300 RIATA PARK CT
AUSTIN, TX 78727
(30.432211, -97.732243)","Blue Ocean Energy","30.432211, -97.732243",30.432211,-97.732243
"2801",2017,"228173, 228987, 228172, 228989, 228990, 869254","6101 AIRPORT BLVD, AUSTIN TX, 78752","ACC Highland Campus",204508,"EDUCATIONAL FACILITY","1970",NA,NA,"04/05/2017 12:00:00 AM",NA,789000,NA,NA,"6101 AIRPORT BLVD
AUSTIN, TX 78752
(30.325973, -97.716053)","Austin Community College District","30.325973, -97.716053",30.325973,-97.716053
"2802",2017,"188301","1601 HASKELL ST, AUSTIN TX, 78702","Martin Jr High",118094,"EDUCATIONAL FACILITY","1967",NA,NA,"04/10/2017 12:00:00 AM",46,114366,NA,NA,"1601 HASKELL ST
AUSTIN, TX 78702
(30.253655, -97.729745)","LPB Energy","30.253655, -97.729745",30.253655,-97.729745
"2803",2017,"214615","1201 W 38TH ST, AUSTIN TX, 78705","Seton Medical Center - Austin",782918,"MEDICAL FACILITY","1975",NA,NA,"05/31/2017 12:00:00 AM",233.8,774000,NA,NA,"1201 W 38TH ST
AUSTIN, TX 78705
(30.306154, -97.745218)","Seton Medical Center - Austin","30.306154, -97.745218",30.306154,-97.745218
"2804",2017,"194691","901 TRINITY ST, AUSTIN, TX 78701","901 TRINITY ST, AUSTIN, TX 78701",110000,"CONGREGATION FACILITY",".",6.696,23.08,"",NA,NA,NA,NA,"901 TRINITY ST
AUSTIN, TX 78701
(30.270431, -97.738108)","First Baptist Church of Austin","30.270431, -97.738108",30.270431,-97.738108
"2805",2017,"377775","9211 WATERFORD CENTRE BLVD, AUSTIN TX, 78758","9211 WATERFORD CENTRE BLVD, AUSTIN TX, 78758",48643,"OFFICE LG > 35000","1998",19.85,84.25,"",NA,NA,NA,NA,"9211 WATERFORD CENTRE BLVD
AUSTIN, TX 78758
(30.37746, -97.728152)","HPI Real Estate Managment","30.37746, -97.728152",30.37746,-97.728152
"2806",2017,"239111","2608 RICHCREEK RD, AUSTIN TX, 78757","Lucy Read",46404,"EDUCATIONAL FACILITY","1962",NA,NA,"04/10/2017 12:00:00 AM",53.2,48131,NA,NA,"2608 RICHCREEK RD
AUSTIN, TX 78757
(30.35213, -97.737646)","LPB Energy","30.35213, -97.737646",30.35213,-97.737646
"2807",2017,"211727","811 E 41ST, AUSTIN TX 78751","811 E 41ST, AUSTIN TX 78751",8700,"CITY OF AUSTIN","1920",22.763,NA,"",NA,NA,NA,NA,"811 E 41ST
AUSTIN, TX 78751
(30.300477, -97.723959)","Signature Flight Support","30.300477, -97.723959",30.300477,-97.723959
"2808",2017,"316275","1901 E BEN WHITE BLVD, AUSTIN TX, 78741","American YouthWorks Building",32430,"INDUSTRIAL","1985",NA,NA,"05/26/2017 12:00:00 AM",45.8,32058,NA,NA,"1901 E BEN WHITE BLVD
AUSTIN, TX 78741
(30.215744, -97.746775)","American Youthworks","30.215744, -97.746775",30.215744,-97.746775
"2809",2017,"334344, 334342","6405 CIRCLE S RD, AUSTIN TX, 78745","Pleasant Hill",80000,"EDUCATIONAL FACILITY","2004",NA,NA,"04/10/2017 12:00:00 AM",50.7,72978,NA,NA,"6405 CIRCLE S RD
AUSTIN, TX 78745
(30.195844, -97.776864)","LPB Energy","30.195844, -97.776864",30.195844,-97.776864
"2810",2017,"192423","812 SPRINGDALE RD, AUSTIN TX, 78702","812 SPRINGDALE RD, AUSTIN TX, 78702",78000,"CITY OF AUSTIN","2005",57.9,96.3,"",NA,NA,NA,NA,"812 SPRINGDALE RD
AUSTIN, TX 78702
(30.258862, -97.699853)","Austin Energy","30.258862, -97.699853",30.258862,-97.699853
"2811",2017,"287929, 363710","1106 GROVE BLVD, AUSTIN TX, 78741","ACC Riverside Campus",110100,"EDUCATIONAL FACILITY","1963",NA,NA,"05/25/2017 12:00:00 AM",NA,184792,NA,NA,"1106 GROVE BLVD
AUSTIN, TX 78741
(30.235656, -97.704005)","Austin Community College District","30.235656, -97.704005",30.235656,-97.704005
"2812",NA,"522984","6500 RIVER PLACE BLVD, AUSTIN TX, 78730","River Place Building 3",864004,"OFFICE LG > 35000","2000",NA,NA,"04/17/2017 12:00:00 AM",67,113465,NA,NA,"6500 RIVER PLACE BLVD
AUSTIN, TX 78730
(30.391744, -97.847562)","Brandywine Realty Trust","30.391744, -97.847562",30.391744,-97.847562
"2813",2017,"235464","8101 CAMERON RD, AUSTIN TX, 78754","8101 CAMERON RD, AUSTIN TX, 78754",34160,"WAREHOUSE","1984",7.519,62.22,"",NA,NA,NA,NA,"8101 CAMERON RD
AUSTIN, TX 78754
(30.336976, -97.68342)","Tarantino Properties, Inc.","30.336976, -97.68342",30.336976,-97.68342
"2814",2017,"266407","2500 PARMER LA, AUSTIN TX, 78727","Parmer Crossing 2506 W. Parmer Ln",85074,"WAREHOUSE","1989",NA,NA,"05/12/2017 12:00:00 AM",43.9,85074,NA,NA,"2500 PARMER LA
AUSTIN, TX 78727
(30.380251, -97.639097)","Blue Ocean Energy","30.380251, -97.639097",30.380251,-97.639097
"2815",2017,"522505","6200 N CAPITAL OF TEXAS HWY, AUSTIN TX, 78731","Champion Office Park",222032,"OFFICE LG > 35000","2009",NA,NA,"05/24/2017 12:00:00 AM",NA,221136,NA,NA,"6200 N CAPITAL OF TEXAS HWY
AUSTIN, TX 78731
(30.364677, -97.790176)","Endeavor Real Estate Group","30.364677, -97.790176",30.364677,-97.790176
"2816",2017,"442969","1001 W BRAKER LA, AUSTIN TX, 78758","McBee",78932,"EDUCATIONAL FACILITY","2000",NA,NA,"04/10/2017 12:00:00 AM",42.5,72788,NA,NA,"1001 W BRAKER LA
AUSTIN, TX 78758
(30.38382, -97.690813)","LPB Energy","30.38382, -97.690813",30.38382,-97.690813
"2817",2017,"153533, 153534","9442 N CAPITAL OF TEXAS HWY, AUSTIN TX, 78759","9442 N CAPITAL OF TEXAS HWY, AUSTIN TX, 78759",245183,"OFFICE LG > 35000","1984",19.281,38.24,"",NA,NA,NA,NA,"9442 N CAPITAL OF TEXAS HWY
AUSTIN, TX 78759
(30.38848, -97.751695)","Domain","30.38848, -97.751695",30.38848,-97.751695
"2818",2017,"246252","8701 RESEARCH BLVD, AUSTIN TX, 78758","8701 RESEARCH BLVD, AUSTIN TX, 78758",39341,"RETAIL CENTER","1972",16.174,33.42,"",NA,NA,NA,NA,"8701 RESEARCH BLVD
AUSTIN, TX 78758
(30.364895, -97.717739)","Vans Real Estate Partnership","30.364895, -97.717739",30.364895,-97.717739
"2819",NA,"287383","520 WOODWARD ST, AUSTIN TX, 78704","APT15 - Apartment 15",575885,"DORMITORY\RETIREMENT FACILITY","1968",NA,NA,"05/11/2017 12:00:00 AM",NA,12882,NA,NA,"520 WOODWARD ST
AUSTIN, TX 78704
(30.22651, -97.753644)","St. Edward's University","30.22651, -97.753644",30.22651,-97.753644
"2820",2017,"242406","8007 BURNET RD, AUSTIN TX, 78757","8007 BURNET RD, AUSTIN TX, 78757",20062,"DORMITORY\RETIREMENT FACILITY","1966",16.643,34.57,"",NA,NA,NA,NA,"8007 BURNET RD
AUSTIN, TX 78757
(30.358768, -97.730149)","Capital Leasing","30.358768, -97.730149",30.358768,-97.730149
"2821",2017,"784743","9501 MANCHACA RD, AUSTIN TX, 78748","9501 MANCHACA RD, AUSTIN TX, 78748",35100,"INDUSTRIAL (W/sqft > 3)","2007",10.625,65.83,"",NA,NA,NA,NA,"9501 MANCHACA RD
AUSTIN, TX 78748
(30.177651, -97.821549)","Bear-lee Investments, LLC","30.177651, -97.821549",30.177651,-97.821549
"2822",2017,"374442","901 S MOPAC EXPY, AUSTIN TX, 78746","901 S MOPAC EXPY, AUSTIN TX, 78746",110566,"OFFICE LG > 35000","1985",15.746,97.95,"",NA,NA,NA,NA,"901 S MOPAC EXPY
AUSTIN, TX 78746
(30.266158, -97.780544)","Stream Realty","30.266158, -97.780544",30.266158,-97.780544
"2823",2017,"192709","1112 ARTHUR STILES RD, AUSTIN TX, 78721","Eastside High",256791,"EDUCATIONAL FACILITY","1960",NA,NA,"05/31/2017 12:00:00 AM",58.5,256791,NA,NA,"1112 ARTHUR STILES RD
AUSTIN, TX 78721
(30.258681, -97.679726)","LPB Energy","30.258681, -97.679726",30.258681,-97.679726
"2824",2017,"442939","9160 RESEARCH BLVD, AUSTIN TX, 78758","9160 RESEARCH BLVD, AUSTIN TX, 78758",28953,"AUTOMOTIVE SALES","2007",18.657,86.84,"",NA,NA,NA,NA,"9160 RESEARCH BLVD
AUSTIN, TX 78758
(30.375107, -97.731564)","GROUP 1 AUTOMOTIVE","30.375107, -97.731564",30.375107,-97.731564
"2825",2017,"196675","1106 Rio Grande Street, Austin, TX 78701","Pease",35623,"EDUCATIONAL FACILITY","1925",NA,NA,"04/10/2017 12:00:00 AM",57.6,35623,NA,NA,"1106 Rio Grande Street
Austin, TX 78701
(30.274906, -97.747662)","LPB Energy","30.274906, -97.747662",30.274906,-97.747662
"2826",2017,"R062053","9801 ANDERSON MILL RD, AUSTIN TX, 78750","9801 ANDERSON MILL RD, AUSTIN TX, 78750",20650,"OFFICE MED 10-35","1984",7.86,NA,"",NA,NA,NA,NA,"9801 ANDERSON MILL RD
AUSTIN, TX 78750
(30.447382, -97.795308)","hsu realty","30.447382, -97.795308",30.447382,-97.795308
"2827",2017,"547990","10801 N MOPAC EXPY, AUSTIN TX, 78759","Braker Pointe I",180563,"OFFICE LG > 35000","2001",NA,NA,"05/24/2017 12:00:00 AM",64.1,80262,NA,NA,"10801 N MOPAC EXPY
AUSTIN, TX 78759
(30.396975, -97.731553)","Blue Ocean Energy","30.396975, -97.731553",30.396975,-97.731553
"2828",2017,"522984","6500 RIVER PLACE BLVD, AUSTIN TX, 78730","River Place Building 7",864004,"OFFICE LG > 35000","2000",NA,NA,"05/24/2017 12:00:00 AM",77.4,69119,NA,NA,"6500 RIVER PLACE BLVD
AUSTIN, TX 78730
(30.391744, -97.847562)","Brandywine Realty Trust","30.391744, -97.847562",30.391744,-97.847562
"2829",2017,"232838","8322 CROSS PARK DR, AUSTIN TX, 78754","8322 CROSS PARK DR, AUSTIN TX, 78754",12594,"OFFICE MED 10-35","1997",19.969,75.8,"",NA,NA,NA,NA,"8322 CROSS PARK DR
AUSTIN, TX 78754
(30.335889, -97.672371)","Texas Protax Austin, Inc.","30.335889, -97.672371",30.335889,-97.672371
